Comment,Designator,Footprint,LCSC
"Battery_Cell","BT1","kicad:BatteryHolder_Keystone_3002_1x2032",""
"1n","C1","Capacitor_SMD:C_0402_1005Metric","C1523"
"100n","C2","Capacitor_SMD:C_0402_1005Metric","C1525"
"12p","C3,C4","Capacitor_SMD:C_0402_1005Metric","C1547"
"LL4148","D1","Diode_SMD:D_MiniMELF","C3011166"
"LED","D2","LED_SMD:LED_0603_1608Metric","C2286"
"MMBT3906","Q1","Package_TO_SOT_SMD:SOT-23","C2910191"
"Q_Photo_NPN","Q4","snapeda:TR8","C146233"
"10k","R1,R4,R7,R8","Resistor_SMD:R_0402_1005Metric","C25744"
"470","R10","Resistor_SMD:R_0402_1005Metric","C25117"
"1k","R2","Resistor_SMD:R_0402_1005Metric","C11702"
"1M","R6","Resistor_SMD:R_0402_1005Metric","C26083"
"B3U-1000P","RST1,SW1","SW_B3U-1000P","C231329"
"E73-2G4M08S1C","U1","snapeda:E73-2G4M08S1C","C356849"
"SHTC3","U2","kicad:Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm","C194656"
"32.768kHz","Y1","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"